Slot,Address,Speed,Status,Use,Updated,Release,Consisted,Consist,Throttle ID,Dir,F0,F1,F2,F3,F4,F5,F6,F7,F8
325,309,"        0",128 step,Idle,11:29:04,Release,none,0,53 17,Fwd,true,false,false,false,false,true,true,true,false
326,5326,"        0",<unknown>,Idle,11:29:04,Release,none,0,6F 7A,Fwd,false,false,false,false,false,false,false,false,false
327,834,"        0",<unknown>,Idle,11:29:04,Release,none,0,6F 7A,Fwd,false,false,false,false,false,false,false,false,false
328,5587,"        0",128 step,Idle,11:29:04,Release,none,0,53 17,Fwd,false,false,false,false,false,false,false,false,false
329,83,"        0",128 step,Idle,11:29:04,Release,none,0,65 0A,Fwd,true,false,false,false,false,false,true,false,true
330,4014,"        0",128 step,Idle,11:29:05,Release,none,0,53 17,Fwd,false,false,false,false,false,false,false,false,false
331,270,"        0",128 step,Idle,11:29:05,Release,none,0,6F 52,Fwd,false,false,false,false,false,false,false,false,false
332,5712,"        0",128 step,Idle,11:29:05,Release,none,0,02 71,Fwd,false,false,false,false,false,false,false,false,false
333,207,"        0",128 step,Idle,11:29:05,Release,none,0,65 0A,Fwd,true,false,false,false,false,false,false,false,false
334,7802,"        0",128 step,Idle,11:29:05,Release,none,0,42 48,Fwd,false,false,false,false,false,false,false,false,false
335,550,"        0",128 step,Idle,11:29:05,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
336,5507,"        0",128 step,Idle,11:29:05,Release,none,0,42 15,Rev,false,false,false,false,false,false,false,false,false
337,876,"        0",128 step,Idle,11:29:05,Release,none,0,42 48,Rev,false,false,false,false,false,false,false,false,false
338,1014,"        0",128 step,Idle,11:29:05,Release,none,0,6C 04,Rev,true,false,false,false,false,false,false,false,false
339,6178,"        0",128 step,Idle,11:29:05,Release,none,0,42 13,Fwd,false,false,false,false,false,false,false,false,false
340,7254,(Consist),128 step,Common,11:36:36,Release,sub(341),6179,42 13,Fwd,false,false,false,false,false,false,false,false,false
341,6179,"        0",128 step,Idle,11:29:05,Release,none,0,42 13,Rev,true,false,false,false,false,false,false,false,false
342,6111,"        0",128 step,Idle,11:29:05,Release,none,0,42 13,Rev,true,false,false,false,false,false,false,false,false
343,99,"        0",128 step,Idle,11:29:05,Release,none,0,53 17,Rev,true,false,false,true,false,true,false,false,false
344,114,"        0",128 step,Idle,11:29:05,Release,none,0,53 17,Rev,false,false,false,false,false,false,false,false,false
345,3076,"        0",128 step,Idle,11:29:05,Release,none,0,65 6B,Fwd,false,false,false,false,false,false,false,false,false
346,5324,"        0",128 step,Idle,11:29:05,Release,none,0,02 71,Fwd,false,false,false,false,false,false,false,false,true
